ethereum_address,github_username,impact_percentage
0x1f1319c79F1496357781691a22B1f37dAC9D844F,gscdev,49.58
0x1D5878059679eFFA13ec0Dc2C894e008307050bc,jo-elimu,33.84
0x48Ac1399035bcCE8C7996D8C60E014b9373B3962,sladomic,8.33
0xEF836b1b90E42c8c69F3cEf628eB10983C10E792,nya-elimu,8.13
0x342FaeB14127A79735144bbdC772AbB6b1bBe343,coderabbitai,0.13
